Банк;Заголовок;Оценка;Текст;Дата
Банк;Заголовок;Оценка;Текст;Дата
Газпромбанк;Самое ужасное обслуживание за всю мою жизнь;2;"Скажу сразу. Карты и вклады у меня есть ни в одном банке. Но Газпромбанк ""отличился"" своим самым ужасным приложением и обслуживанием.Ситуация: Открыла вклад. Попробовала закрыть через приложение телекард. Болела и не могла приехать в офис. Огромное количество звонков вживую, через форму обратной связи.  Результат - ноль. То ""у вас нет текущего счета"" (открыла), то ""обновите приложение"" (стоит последняя версия). Пятьсот отговорок - вклад закрыть нельзя.Выздоровела и на каникулах поехала в банк. вклад закрыла вживую. И тут...я пропустила некую смс, которая наложила лимиты на мои операции! О проблеме я поняла через две недели. Позвонила в банк и началось:* повторно выслать смс нельзя* оператор не может верифицировать по телефону и паспорту. необходимо кодовое слово. Договор мой заключен два года назад. Я уверена в слове на 99%. Но то ли за два года я реально напутала, то ли кто-то из самих сотрудников не так ввел это слово в систему...Ну вы поняли. Вам надо ехать в банк! Закрыть вклад - езжайте в банк!Система сама поставит лимит без вашего желания и каких-либо причин (я так поняла причина была именно закрытие вклада) - езжайте в банк!з.ы и да. для закрытия я ездила в банк два раза. ибо первый раз три человека в очереди не прошли и за час. Газпромбанк: Мы не умеем работать удаленно. Наши приложения глючат. Мы подключаем и отключаем опции без вашего желания.  По каждому чиху вы будете ехать через полгорода и сидеть в нашем офисе."; 29.01.2021 12:53
Россельхозбанк;Работа банка Россельхоз с клиентами;5;Обратились за сельской ипотекой в Россельхозбанк на Декабристов 158 к Нарбаевой Нине за одобрением.Клиентский менеджер Нина очень ответственно подошла к нашему вопросу, одобрение ипотеки получили быстро ,одобрение объекта  и выход на сделку даже не заметили!Как здорово иметь таких опытных,грамотных и вежливых специалистов в команде!Побольше вам сделок и таких специалистов!!!; 29.01.2021 12:53
Банк ДОМ.РФ;Не выдают справку об остатке ссудной задолженности;1;Добрый день!Являюсь заемщиком по договору ипотеки у организации ДОМ.РФ. В конце прошлого года меня уведомили о том, что теперь агентом по сопровождению кредита вместо банка ВТБ становится Банк ДОМ.РФ.  13.01.2021 я запросил справку об остатке кредита и кредитной истории через личный кабинет заемщика (так как другого способа обращения нет). Мое заявление на выдачу справки приняли, но до сих пор (сегодня 29.01.2021) справку не выдали. Из-за этого мне придется перенести дату рефинансирования в другом банке и снова просить обновить справку об остатке ссудной задолженности. Считаю недопустимым такие затяжки, прошу принять меры.; 29.01.2021 12:52
Райффайзенбанк;Казанский банкомат рэйкетир;1;Добрый день,уважаемый читатель!Я, Валимханов Динар Дамирович, 27.01.2021 в 16-43 воспользовался Вашим банкоматом по адресу г. Казань,ул. Р. Зорге 11б (ТЦ ГОРКИ ПАРК)для снятия денежных средств в размере 400 т.р с карты Тинькофф банка,так как Ваш банк является партнером,предполагал,что комиссия не взимается или рассчитывал, что банкомат укажет,что с сторонней карты возможно удержание комиссии,как это делается во всех банкоматах других банков,так как карта стороннего банка.но такой информации НЕ БЫЛО,ни буквы про комиссию с карты стороннего банка, в итоге ,с меня удержали комиссию в размере 6 тр. Обращение адресовано руководству,прошу дать обратную связь,что за беспредел..?!; 29.01.2021 12:52
Банк ДОМ.РФ;Помогли быстро решить справку о закрытии кредита;5;Я выплатил кредит в банке ДОМ РФ уже более года назад.Так случилось,что мне пришлось оформить новый кредит сейчас в другом банке, когда я подавал заявку, сказал сотруднице о том что у меня уже имелся кредит.Она попросила принести справку с банка дом РФ о том, что у меня не осталось задолженности по предыдущему займу.Я направился в отделение на Белоруской,там меня обслуживала сотрудница Валерия.Я ей объяснил цель своего визита,но девушка попросила подождать некоторое время.Мне нужно было получить ее в короткие сроки,по этому я попросил Валерию быстрее выполнить мою просьбу.На это сотрудница пообещала постараться.И через день  22 января,у меня уже в рука была нужна справка .; 29.01.2021 12:51
Модульбанк;Открытие счёта он лайн по удалёнке в Крыму;5;Открыл расчётный счёт  в банке. По  удалёнке.  В Крыму! В течении 6-ти часов. Операторы 24/7.  Елизавета (оператор) всё доходчиво рассказала . Уже провёл проплату.  Всё хорошо,быстро,удобно. Вставил на сайт ссылку от банка.https://tabakoff-coffee-crimea.nethouse.ru/partnyori-v-simferopole-tabakoff-coffee2019; 29.01.2021 12:51
СберБанк;Обманывают, мухлюют с деньгами клиента;1;1. Заключают договор по кредитной карте с одной % ставкой - потом без уведомления клиента повышают ставку в 1.5 раза. 2. Деньги на балансе и размер задолженности никогда не сходятся, в разных разделах интернет-кабинета показываются разные цифры баланса. На запросы поддержка называет цифры задолженности, которые не сходятся с цифрами в интернет-кабинете и справках из него. 3. На балансе карты есть деньги, но банк в ответах на запросы пишет задолженность аж больше кредитного лимита и начисляет проценты на указанную им цифру, без учета средств на балансе карты.4. Ну и вишенкой на торте - в новом интернет-банке закрыли возможность написать запрос в банк, а в онлайн-чате пишут, что в нем можно пообщаться только с ботом.  Все для защиты банка от обманутых клиентов.; 29.01.2021 12:50
Тинькофф Банк;Отзыв;5;Давно хочу оставить отзыв этому банку. Продукты банка по моему мнению на рынке самые выгодные. Я был клиентом почти всех банков и по моему мнению если взять общую оценку(моб. приложение, обратная связь, информативность) самый лучший банк. Все понятно, никто ничего не скрывает. В любой момент можно написать в чат и помогут и объяснят что и как. Я владею двумя картами Тиньков, одним кредитом  и картой eSIM. Tinkoff black использую в основном для переводов, а Tinkoff Drive для автомобильных покупок. Помимо перечисленных плюсов я заработал немало кэшбэка) Недавно я подключил eSIM, это вообще что-то с чём-то. Никуда не надо ходить, за 5 минут я оформил электронную сим карту и подключил ее к своему iPhone. Что по банковским картам, что по телефонным сим картам аналогов в России нет ни у кого это точно. В общем за два года одни плюсы! Спасибо Тинькофф!; 29.01.2021 12:49
Тинькофф Банк;Получил карту с доставкой на дом;5;Так как у меня есть ограничения по расчётным счетам (ФССП наложили арест на мою дебетовую карту), мне потребовалась карта для оплаты брони отеля и авиабилета. Когда я обратился к ним на горячую линии, мне пояснили, что взыскание могут наложить на депозитный счет и предложили кредитку, так как ее арестовать не могут. Я подал заявку и в короткий срок получил кредитку, оплатил билет и бронь без проблем и классно провел отпуск. Рекомендую всем! P.S. как снимут арест, продолжу с вами сотрудничество.; 29.01.2021 12:48
ВТБ;Мошенническое действия;5;Был взломан онлайн банк 18.01.2021г , одобрен онлайн кредит и  переведены денежные средства на карту, далее неизвестными лицами списывались деньги  с зарплатной и кредитной карты. Была оформлена претензия банку ВТБ и присвоен номер CR-7586573 ,на которую банк ответил что отсутствуют основания удовлетворения требований . В банке мне дали номера счетов куда переводили денежные средства. Сотрудники ВТБ банка не смогли сделать отмену переводов денежных средств. Было написано заявление в полицию города Первоуральска был присвоен номер (кусп-1900).; 29.01.2021 12:47
Райффайзенбанк;Бедный,бедный банк;1;"Получила ответ из банка:""Какая либо финансовая компенсация не может быть предоставлена Банком......Надеемся на ПОНИМАНИЕ нашей позиции по данным вопросам."".Еще прислали смс:""ПОМОГИТЕ нам стать лучше...""БАНК ПРОСИТ ПОМОЧЬ И ПОНЯТЬ !!!Вот ,что я проняла и всем советую так делать: 1.Записывать все разговоры с банком.2.В случае,если в интернет банке не проходит операция,делать скриншот.3.Затем отправляться в суд.А банк мне хочется погладить по головке(совет директоров) и сказать:""Бедный,бедный..."""; 29.01.2021 12:46
ВТБ;Исполнительное производство;1;"12.01.2021 в ВТБ Банк был повторно направлен Исполнительный лист ФС № 029342864, который был получен Банком 17.01.2021г. (почтовый идентификатор 11503555001097).В соответствии с п.5 ст. 70 ФЗ ""Об исполнительном производстве"" требования о взыскании должны исполняться незамедлительно.В связи с нарушением Банком ВТБ требований закона мной было составлено обращение CR-7589030 от 21.01.2021 с целью разъяснения причин задержки перечисления денежных средств. Срок рассмотрения обращения составляет в соответствии с регламентными процедурами Банка 7 дней.По состоянию на 29.01.2021 Банк не исполнил требования по Исполнительному листу ФС № 029342864 и не ответил на обращение CR-7589030 от 21.01.2021.Прошу указать причину нарушения Банком ВТБ норм законодательства РФ, касаемых срока перечисления денежных средств по исполнительному документу, а также указать причину игнорирования направляемых в адрес Банка запросов.В случае неисполнения требований исполнительного документа, буду вынужден обратиться в уполномоченные органы за защитой нарушенных прав и потребовать привлечения Банка к ответственности по ч. 2 ст. 17.14 КоАП РФ.P.S. Качество оказания услуг отвратительное!"; 29.01.2021 12:45
Банк ДОМ.РФ;Не могу получить закладную;1;В середине декабря 2020 года я погасила ипотеку, подала заявление на получение закладной через личный кабинет, его приняли. 31 декабря мне позвонили сотрудники ВТБ и попросили переподать заявление заново в связи с тем что изменился агент сопровождения.03.01.2021 я подала новое заявление, в нем стоял срок рассмотрения до 28 января. Позвонила в банк, оператор сказал мне, что 28 января я точно получу сообщение от банка о том КОГДА мне выдадут закладную. Никакого сообщения не пришло. Сегодня снова звонила в банк, операторы говорят, что закладная у специалиста и что они делают всё возможное, разговаривают вежливо и терпеливо, но отказываются назвать ГОРОД, в котором находится закладная. Говорят, что точных сроков мне никто не назовет.Мой покупатель квартиры не готов ждать без точных сроков, собирается искать другой объект. Соответственно, моя сделка на покупку тоже под вопросом.; 29.01.2021 12:43
Транскапиталбанк;Профессионализм сотрудников банка;5;Планировала оформить ипотеку в новом году, обратилась в ТКБ. 28.12.20 обратилась в офис на ул. Воронцовская. Менеджер Елизавета рассказала о видах кредитования, подсказала, как можно снизить ставку. Квартиру я хотела купить на вторичном рынке, уже нашла вариант. Около 13 января владелец сообщил, что по своим причинам передумал продавать жилье, нужно было искать новый вариант, а времени не было. Связалась с менеджером, рассказала о проблеме. Елизавета постаралась максимально оттянуть срок подписания документов, пока я не нашла новый вариант.; 29.01.2021 12:42
МТС Банк;Благодарность за качественное оперативно обслуживание;5;В банке открыт расчетный счет, и пользуюсь услугами эквайринга. Хочу выразить благодарность всем сотрудникам Волгоградского отделения за отзывчивость, оперативность в решении вопросов и профессионализм. Отдельное спасибо менеджеру Валерии Б. Всегда все расскажет, поможет решить вопросы и даст обратную связь.; 29.01.2021 12:42
Тинькофф Банк;Банк всегда под рукой;5;Как же удобно когда банк со всеми своими функциями всегда под рукой. Брала автокредит, очень порадовала процентная ставка и возможность частично досрочного погашения в любое время. Не было никаких навязанных услуг и страховок. В мобильном приложении все наглядно видно, понятный интерфейс, особенно радует онлайн чат в режиме нон-стоп  что для меня важно. Сегодня закрыла досрочно свой кредит для этого написала в чат, мне рассчитали  полную сумму я подтвердила погашение. Остаток по счету вернут на тот банк который вам нужен, все очень удобно и быстро. А самое главное не нужно сидеть в очередях, платишь сидя дома на диване Огромное спасибо Тинькофф за то, что вы есть.; 29.01.2021 12:38
Тинькофф Банк;Екатеринбург;1;Друг оформил кредитную карту по моей ссылке, когда понадобилась кредитка её активировали, но ни я ни друг не получили обещанный банком вознаграждение за друга, ни в личном кабинете ни на сайте банка не было подробностей о том что необходимо воспользоваться картой в течении 90 дней, друг не успел всего лишь на несколько идей. После такого случая нет желания рекомендовать продукты банка друзьям и близким. Банк получил свою прибыль от нового оформленного продукта,решил и бонус мне не платить! Какие-то 750 рублей,а обидно очень даже!!!; 29.01.2021 12:38
СберБанк;Помощь в подаче заявления;5;Раньше по всем вопросам ходила в центральный офис. С лета 2020 хожу только в отделение Сбербанка по месту жительства - К.Маркса, 143/1Всё сотрудники внимательны и доброжелательны. Быстро решают проблемные вопросы! Теперь всем рекомендую именно Сбербанк (до этого был другой банк в моём личном рейтинге на 1 месте)! Сбер повышает свой сервер прямо на глазах!Сегодня хочу сказать отдельное Спасибо двум специалистам: Светлане Шангиной и Инне Литвиненко. Их спокойствие и терпение, а также точность действий в помощи мне - это то, что необходимо в данной сфере! Лучшие рекомендации им! Надеюсь, что так будет и далее....; 29.01.2021 12:33
Совкомбанк;Промокод;5;Мной был активирован бонус в игре 5X10 для возврата с покупки в магазине партнере. Покупка не была произведена,бонус не использовался.После консультации в банке я сделал следующую покупку.Попробовал использовать бонус на эту покупку, оказалось, что нельзя его использовать.Позвонив на горячую линию и  объяснив ситуацию банк пообещал разобраться  в течении десяти рабочих дней. Уже на следующий день вопрос мой решился положительно. Я получил бонусы за покупку на свою карту.Очень доволен работой Совкомбанка. Являюсь клиентом банка больше десяти лет и всем рекомендую ЭТОТ банк.; 29.01.2021 12:33
Тинькофф Банк;Лучшие Сотрудники Лучший Банк Тинькофф;5;Очень вежливые и профессиональные сотрудники с которыми приятно общаться все объясняют очень понятно и легко Спасибо Тинькофф Банк Тылутший!!! Желаю стать Банком номер 1 во Всем мире и я уверен Скоро так и будет ! Удобный интерфейс очень хорошее и качественное обслуживание Всегда актуальные и свежие новости и аналитика!; 29.01.2021 12:29
Газпромбанк;Сокрытие информации со стороны банка.;1;Добрый день ! Прошу разобраться с ситуацией по договору номер 00932- пб-037/1002/21 от 26.01.2021 сачков Олег Игоревич . По данному договору был заключён договор страхования , договор страхования медицина без границ, и сертификат на юридические услуги. В банке сообщили если отказаться от этих дополнительных услуг , то вырастет процентная ставка. В итоге заёмщик уточнил какой будет платёж - ему ничего не сказали ( скрыли информацию ) обращение в офис было сегодня 29.01.2021. По горячей линии также было сделано обращение по поводу уточнения ежемесячного платежа - там сообщили что бы заёмщик шёл в отделение банка. Непонимаю почему идёт сокрытие информации? Я прошу предоставить обратную связь либо мне либо заемщику сачкову Олегу Игоревичу по телефону +7 (987) 956-38-71 . Интересует ответ на вопрос: какой будет платёж и процентная ставка по договору при отказе от дополнительных услуг? В ином случае заёмщик будет вынужден обратится с жалобой в центробанк . Надеюсь на ваше понимание.; 29.01.2021 12:25
Ситибанк;Условия акции противоречат правилам программы лояльности;3;В конце прошлого года банк объявил акцию «Повышенный кэшбэк у партнеров 5%», которая предполагает в том числе начисление cashback 5% у ряда сотовых операторов при оплате услуг в их мобильном приложении или на сайте.По факту начисление составляет только 4% (повышенный cashback) без начисления стандартного cashback в размере 1%. Я уточнил, с чем это связано. Оказывается, при оплате не через приложение Ситибанка, а через приложение сотового оператора cashback вообще не начисляется по условиям программы лояльности.Хорошо. Это правила, и их никто не оспаривает. Но почему вы в условиях акции не отразили этого? Там четко написано о cashback 5%, а не «до 5%».Прошу банк привести условия акции в соответствии с вашими же правилами начисления cashback и доначислить клиентам за предыдущие периоды cashback в размере 1%.Эта ситуация очень странная, так как обычно условия акции вычитываются юристами чрезвычайно тщательно и таких «косяков» там быть не должно.; 29.01.2021 12:25
ВТБ;С заботой о клиентах;5;Всем добрый день. В моей очень не простой ситуации мне помогла сотрудник банка Втб на Светлановском 11, Горлова Дарья Дмитриевна, с высоким профессионализмом в кратчайшие сроки проблемы были решены, подобраны наилучшие условия, наилучшие по сравнению со всеми банками куда я обращался. Хочу выразить огромную благодарность от чистого сердца Горловой Дарье Дмитриевной!; 29.01.2021 12:25
Росбанк;Оформление закладной.;1;Добрый день, имею ипотечный договор с банком 399976-КД-2017. При оформление закладной столкнулся с длительным ожиданием. Отравил готовый отчёт об оценки недвижимости две недели назад, до сих пор нет никакого ответа, хотя представитель банка уверял что проверка отчёта и оформление закладной проходит 3-4 дня.Сколько можно ждать? Прошу разобраться с этим вопросом.; 29.01.2021 12:24
Ситибанк;Одностороннее изменение условий, исключение из программы без уведомлений;1;Здравствуйте.Перед тем как открыть счёт и карту в данном банке, много изучил отзывов на данном портале. Отзывы были про этот банк, что он ее из самых хороших для обслуживания и не очень со своими клиентами. Решил рискнуть и открыл карту сити приорити в сентябре 2020 и подключил их страховую программу. Начал активно ей пользоваться и совершать покупки. Большинство операций приходилось на категорию дом и ремонт. Оплачивал картой. Сначала банку не понравились мои поступления на карту. Пришёл запрос предоставить подтверждение дохода. Я предоставил все документы, вопрос был закрыт. После этого запроса уже возникло подозрение к банку, так как ни один банк никогда такого не запрашивал у меня. Далее я получаю первую компенсацию , все нормально и я подумал что опасения зря. Потом , после поездки я теряю карту и заказываю новую. 16 января должна быть выписка по счету, но в эти дни у банка проводятся какие то работы. Приходит выписка и начислений баллов по ней нет. Звоню в ситифон, там составляют обращение и обещают разобраться и ответить. Проходит время, ответа нет и я сам узнаю в ситифон,  что была ошибка и все доначислят. Сегодня, я звоню снова в ситифон с вопросом по этому начислению и мне оператор ничего не объясняя зачитывает ответ и ссылку на пункт 1.6, где банк в одностороннем порядке решил мне эту программу закрыть и все аннулировать. Я спросил на каком основании и что именно банку не понравилось? Этот пункт обвиняет меня и в сокрытие какой то информации, и в обмане, и в злоупотреблении. За все время работы с банками, я первый раз с таким сталкиваюсь и понимаю, что не зря много негатива к этому банку. Банк не любит умных людей и которые свои траты разделяют. Банку не интересно, что крупные покупки проводят по его карте и в одной категории, а остальные по другим продуктам других банков. Нормальный и честный банк мог запросить подтверждение моих расходов и документальные сведения, если его что то бы не устраивало. Данный банк просто послал и все. Я рассчитывал, что в России ситибанк соответствует своей материнской компании в США, но оказалось что они только портят репутацию банка. Понял одно, надо доверять больше отзывам, когда планируешь начинать работу с такими банками. Теперь могу сказать точно, не рекомендую данный банк для обслуживания и открытия счета , так как вам могут не сообщить что их в вас не устроило и просто в одностороннем порядке ысе поменять и прекратить ничего не объясняя. Я ещё составлю обращение на английском языке о работе с клиентами российского подразделения корпорации CITI и отправлю в головную компанию. Посмотрим, как они на это отреагирует и что ответят. Из всего вышесказанного, оценка 1 за отношение к клиентам, хотя в начале работы все устраивало и не было вопросов к данному банку и продуктам.; 29.01.2021 12:21
Газпромбанк;Кредит за один клик;5;Добрый день. В отзыве хотелось бы отметить положительной оценкой возможность получения кредитных продуктов на прозрачных условиях в мобильном приложении и интернет банке. В Газпромбанке это реализовано удобнее и лучше, чем в других банках. Возможность выбора параметров, от страховки до выбора нужной суммы уже из одобренной ранее. Решение приходит через пару минут после заполнения заявки. Так же хотелось бы отметить, что в качестве зарплатного банка, Газпромбанк максимально старается сделать удобным и выгодным обслуживание зарплатных клиентов. К примеру бесплатные карты различных категорий с кешбеком, льготные ставки по кредитам. С горячей линией так же проблем нет, максимальное ожидание за более 10 лет обслуживания в банке не достигало более 3-х минут. Сотрудники в банке стараются решать вопросы, видна их заинтересованность. На этом сайте банки.ру мне помогли решить вопрос с умной картой. Желаю банку и далее развивать дистанционные каналы, в частности реализовать закрытие карт и счетов из мобильного и интернет банка.; 29.01.2021 12:21
СберБанк;Электронная регистрация затянулась;1;Сделка купли-продажи прошла 23 января в офисе Сбербанка. Менеджер банка обещала,что регистрация права собственности будет в пятидневный срок и заверила,что к 29 января мы получим документы. Однако 29 января пришло смс о том, что ДКП только отправились в Росреестр,а регистрация запланирована на 9 февраля 2021г. Услугу ЭР выбрали, чтобы ускорить процесс,но на деле оказывается,что 5900 рублей заплачены впустую! Менеджеры были в курсе технических работ на сайте,но о том, что это увеличит срок регистрации не было и речи,услугу продолжали предлагать. Помимо того,что деньги потрачены впустую, обмануты банком, мы остаёмся на улице (продавец сказала,что съедет,когда документы будут готовы), за отсутствие прописки нужно штраф платить.; 29.01.2021 12:14
ВТБ;недоброжелательное отношение;1;Здравствуйте!27го января 2021 года я обратилась в Филиал №6602 ВТБ 24 по адресу г.Екатеринбург, ул.Ленина, 27, чтобы получить готовую карту.Консультант, которая меня обслуживала, параллельно общалась с двумя сотрудниками, стоявшими у неё за спиной. Я попросила уделить внимание мне, поскольку была приглашена к данному окну по талону. В ответ на мою просьбу консультант резко ответила, чтобы я чётко сформулировала вопрос, по которому обращаюсь к ней.Была произведена выдача карты.Однако консультант не помогла разобраться в работе с мобильным приложением, ничего не рассказала, усмехнулась, когда я неправильно использовала в разговоре банковский термин, после чего стала молча смотреть на меня, пока я вникала как активировать карту.Далее она спросила есть ли у меня ещё какие-нибудь вопросы, но я уже едва сдерживала слёзы от явной невежливости по отношению ко мне.Выйдя в зал ожидания и успокоившись я вернулась к ней и попросила записать для меня её ФИО, так как на этом сотруднике не было бейджа. Она указала мне на талон, лежащий перед ней. То есть я сама должна была додумывать брать ли мне талон, чтобы получить её ФИО, или этот жест означает, что она занята другим клиентом. Грубо и снова невежливо.Обратившись к стойке выдачи талонов я попросила пригласить руководителя, чтобы пообщаться на предмет некачественного обслуживания меня, как клиента.Оказалось, что руководитель -- главный финансовый консультант Строцкая Елена Сергеевна -- и есть тот сотрудник, которая меня обслуживала.После этого я решила наверняка написать отзыв о её изысканной грубости, граничащей с неприязнью то ли к своей работе, ввиду нежелания что-либо объяснить,  то ли к клиентам, которые отнимают у неё время.Качество обслуживания -- 1.Причина -- отсутствие доброжелательности, нежелание помочь, внешнее проявление неприязни.Прошу руководство провести разъяснительную беседу с данным сотрудником о недопустимости такого поведения.; 29.01.2021 12:13
Альфа-Банк;Не отдают закладную!!!;1;"Два года назад взяла ипотеку в Альфа-банке на недвижимость в Ленинградской обл. Сейчас решила рефинансировать её в Сбере. 16.12.2020г отправила на почту ""погашено@альфабанк"" запрос по шаблону банка на предоставление документов. 23 12.2020г мне пришёл ответ с просьбой написать ФИО, номер ипотечного договора, и адрес, куда доставить документы. Т. е. продублировать ВСЕ данные, которые были прописаны в запросе (зачем тогда нужен был шаблон?).  27.12.2020г я продублировала уже в теле письма запрашиваемые данные с вопросом, сдвинулись ли сроки предоставления документов? На письмо ответа не было. Я позвонила на горячую линию, но они не смогли ответить на этот вопрос. Отправили заявку, и сказали, что мне перезвонят. Угадайте с одного раза, перезвонили ли мне? НЕТ! Справка о погашении задолженности на адрес была доставлена. Закладной нет. 28.01.2021г позвонила на горячую линию. Там мне сказали, что закладная может быть на адресе, до меня просто не дозвонились (что странно, я всегда на связи). И отправили заявку, сказав, что мне перезвонят по ней в течение 2х рабочих дней. Хорошо, я сходила в банк по адресу, куда должна была прийти закладная. Документа нет. Я позвонила снова на горячую линию, и, оказывается прошлый оператор напутал, и ОБРАБОТКА моей заявки будет до 5 РАБОЧИХ дней. Все сроки предоставления закладной не соблюдаются!!! На почту не отвечают, по заявкам не перезванивают!!! ГДЕ МОЯ ЗАКЛАДНАЯ???"; 29.01.2021 12:10
